Date,AAPL,AMZN,MSFT,NVDA
2022-01-03,178.10365295410156,170.4044952392578,323.1607971191406,30.061138153076172
2022-01-04,175.84324645996094,167.52200317382812,317.6195068359375,29.231788635253906
2022-01-05,171.1658477783203,164.35699462890625,305.4267883300781,27.54913902282715
2022-01-06,168.3085174560547,163.25399780273438,303.0133056640625,28.121999740600586
2022-01-07,168.474853515625,162.5540008544922,303.16778564453125,27.192852020263672
2022-01-10,168.4944305419922,161.48599243164062,303.3898010253906,27.345550537109375
2022-01-11,171.32235717773438,165.36199951171875,304.0752258300781,27.76171875
2022-01-12,171.7627716064453,165.20700073242188,307.25128173828125,27.943357467651367
2022-01-13,168.4944305419922,161.21400451660156,294.2477111816406,26.52219009399414
2022-01-14,169.35556030273438,162.13800048828125,299.46075439453125,26.888456344604492
2022-01-18,166.15573120117188,158.91749572753906,292.1720275878906,25.85152244567871
2022-01-19,162.66232299804688,156.2989959716797,292.8284912109375,25.017181396484375
2022-01-20,160.97921752929688,151.66749572753906,291.1585388183594,24.10200309753418
2022-01-21,158.92430114746094,142.64300537109375,285.78131103515625,23.32754898071289
2022-01-24,158.15127563476562,144.54400634765625,286.1094665527344,23.32555389404297
2022-01-25,156.3507843017578,139.98599243164062,278.5023498535156,22.279632568359375
2022-01-26,156.26272583007812,138.87249755859375,286.437744140625,22.726743698120117
2022-01-27,155.80279541015625,139.6374969482422,289.4593811035156,21.900390625
2022-01-28,166.67433166503906,143.97799682617188,297.5878601074219,22.794605255126953
2022-01-31,171.02880859375,149.57350158691406,300.2137451171875,24.43733787536621
2022-02-01,170.86251831054688,151.19349670410156,298.0705261230469,24.589038848876953
2022-02-02,172.06607055664062,150.6125030517578,302.6078186035156,25.19183349609375
2022-02-03,169.18917846679688,138.8455047607422,290.8205871582031,23.900405883789062
2022-02-04,168.9050750732422,157.63949584960938,295.3481750488281,24.270668029785156
2022-02-07,168.18983459472656,157.9355010986328,290.531005859375,24.67885398864746
2022-02-08,171.2957305908203,161.4134979248047,294.0159606933594,25.0580997467041
2022-02-09,172.7164306640625,161.1894989013672,300.43572998046875,26.65192985534668
2022-02-10,168.6405487060547,159.0034942626953,291.9114685058594,25.77267837524414
2022-02-11,165.2308807373047,153.2935028076172,284.8255615234375,23.901405334472656
2022-02-14,165.4659881591797,155.16700744628906,284.7869567871094,24.218774795532227
2022-02-15,169.29698181152344,156.510498046875,290.06756591796875,26.442346572875977
2022-02-16,169.0618133544922,158.10049438476562,289.72900390625,26.458311080932617
2022-02-17,165.4659881591797,154.65249633789062,281.2451171875,24.458297729492188
2022-02-18,163.91793823242188,152.60150146484375,278.5364074707031,23.59501838684082
2022-02-22,160.99819946289062,150.19749450683594,278.33331298828125,23.34351348876953
2022-02-23,156.83409118652344,144.82699584960938,271.1263732910156,22.342506408691406
2022-02-24,159.45013427734375,151.35800170898438,284.9791564941406,23.7007999420166
2022-02-25,161.5175018310547,153.7884979248047,287.6104431152344,24.108993530273438
2022-02-28,161.78201293945312,153.56300354003906,289.0421447753906,24.336538314819336
2022-03-01,159.90084838867188,151.14199829101562,285.3274230957031,23.430339813232422
2022-03-02,163.19290161132812,152.05250549316406,290.396484375,24.17598533630371
2022-03-03,162.8695831298828,147.89849853515625,286.2657775878906,23.670902252197266
2022-03-04,159.87142944335938,145.64100646972656,280.403564453125,22.89431381225586
2022-03-07,156.07968139648438,137.4530029296875,269.8107604980469,21.313196182250977
2022-03-08,154.2572784423828,136.01449584960938,266.8505859375,21.474903106689453
2022-03-09,159.6558837890625,139.2790069580078,279.087890625,22.97217559814453
2022-03-10,155.31546020507812,146.8175048828125,276.2727355957031,22.6168212890625
2022-03-11,151.60205078125,145.52450561523438,270.9328918457031,22.059839248657227
2022-03-14,147.57513427734375,141.85299682617188,267.42132568359375,21.291234970092773
2022-03-15,151.9547882080078,147.3665008544922,277.7818908691406,22.931251525878906
2022-03-16,156.3638153076172,153.10400390625,284.78570556640625,24.45148277282715
2022-03-17,157.37298583984375,157.23899841308594,285.58868408203125,24.720993041992188
2022-03-18,160.66505432128906,161.25050354003906,290.628662109375,26.404926300048828
2022-03-21,162.03677368164062,161.4915008544922,289.4001159667969,26.685415267944336
2022-03-22,165.40725708007812,164.88900756835938,294.14019775390625,26.475799560546875
2022-03-23,166.76913452148438,163.4080047607422,289.7193908691406,25.58741569519043
