Date,Portfolio_Returns,Rolling_Volatility_30d,Cumulative_Returns,Drawdown
2022-01-04,-0.018585744637406643,,0.9814142553625933,0.0
2022-01-05,-0.03536079148026727,,0.9467106705229549,-0.03536079148026726
2022-01-06,-0.002628021359229349,,0.9442226946598102,-0.03789588392420719
2022-01-07,-0.008957471265380879,,0.9357648470042745,-0.04651390389826072
2022-01-10,-2.64980303795459e-05,,0.9357400510789304,-0.046539169401801764
2022-01-11,0.014565877875287292,,0.9493699263859612,-0.03265117538443847
2022-01-12,0.004655268506042365,,0.9537894983048495,-0.028147906866848562
2022-01-13,-0.03409483086101134,,0.9212702066831367,-0.06128303960414324
2022-01-14,0.010592274009356195,,0.9310285531489808,-0.051339892342400294
2022-01-18,-0.025415207195652184,,0.9073662695656313,-0.07545028553676782
2022-01-19,-0.016882228623050888,,0.8920479047579795,-0.09105874518971252
2022-01-20,-0.020566218684051285,,0.8737018524720771,-0.10975222980709688
2022-01-21,-0.030716876111717,,0.8468644609111147,-0.1370978602728446
2022-01-24,0.002381360549833733,,0.8488811505293846,-0.1350429791589312
2022-01-25,-0.028586721725740394,,0.8246144213009747,-0.1597692648184403
2022-01-26,0.010010885066236375,,0.8328695414965798,-0.15135781149941846
2022-01-27,-0.005811410131357608,,0.8280293950050275,-0.15628961931156812
2022-01-28,0.042443693267183835,,0.8631740206628327,-0.12047943470728943
2022-01-31,0.036469798823801414,,0.894653803546338,-0.08840349662966822
2022-02-01,0.0022318994054681685,,0.8966505808385729,-0.08636890493576911
2022-02-02,0.010734586704580856,,0.9062757542422973,-0.07656145272980093
2022-02-03,-0.046265825330943866,,0.8643461584948539,-0.11928509926166445
2022-02-04,0.041184929335920745,,0.899944193954239,-0.08301291830966365
2022-02-07,-0.00046216902589119035,,0.8995282676227626,-0.08343672133596337
2022-02-08,0.016962590034300673,,0.9147865968507123,-0.06788943419949078
2022-02-09,0.023086576924323365,,0.9359058879882463,-0.04637019192016273
2022-02-10,-0.024630935145341454,,0.9128536507590645,-0.06985898587564163
2022-02-11,-0.03825258930845049,,0.8779346349578584,-0.10543928808788632
2022-02-14,0.006696733261098042,,0.8838139290288507,-0.09944865361435289
2022-02-15,0.03554132688360678,0.39019910922229883,0.9152258487847498,-0.06744186383698855
2022-02-16,0.0020516972880919304,0.38745267207374107,0.9171036151766931,-0.06552853683803476
2022-02-17,-0.03698785917779812,0.38869790516135655,0.883181915807088,-0.10009263572314052
2022-02-18,-0.01688611392291245,0.3910802565188194,0.8682684053621136,-0.11528857399638734
2022-02-22,-0.011238591838042183,0.3914633653494338,0.858510291148381,-0.1252314846076943
2022-02-23,-0.03259874972597951,0.4008909624390073,0.830523929030057,-0.15374784450913478
2022-02-24,0.043415841468506355,0.4205272320890863,0.8665818242686271,-0.11700709508396151
2022-02-25,0.01386956468229722,0.42276927758678323,0.8786009369328239,-0.10476036787521897
2022-02-28,0.0036471292279684764,0.4121937125086405,0.8818053080896321,-0.10149531324686097
2022-03-01,-0.019370354526658695,0.41393151163664493,0.8647244266484464,-0.11889966757313371
2022-03-02,0.019050428735096547,0.41225530735074173,0.8811977977138098,-0.10211432848176587
2022-03-03,-0.01610410226496406,0.4119951469263004,0.8670068982637655,-0.1165739711581414
2022-03-04,-0.021739734431210633,0.4125024878191168,0.8481583985454836,-0.13577941841478247
2022-03-07,-0.04669394430488677,0.42502679072404004,0.8085545375220787,-0.17613328611845955
2022-03-08,-0.006381556086004936,0.4251448475532378,0.8033947013922877,-0.18139083776048723
2022-03-09,0.043644660874821495,0.4365261259068533,0.8384585906831826,-0.14566291848552199
2022-03-10,0.0003458996207653664,0.4356751300183695,0.8387486131917273,-0.1453674036130204
2022-03-11,-0.01916780371473542,0.4390890681909256,0.8226716444080618,-0.16174883346878063
2022-03-14,-0.02489853979700654,0.4259083038313168,0.802188321729899,-0.18262006349854532
