Date,AAPL,AMZN,MSFT,NVDA
2022-01-03,,,,
2022-01-04,,,,
2022-01-05,,,,
2022-01-06,,,,
2022-01-07,,,,
2022-01-10,,,,
2022-01-11,,,,
2022-01-12,,,,
2022-01-13,,,,
2022-01-14,,,,
2022-01-18,,,,
2022-01-19,,,,
2022-01-20,,,,
2022-01-21,,,,
2022-01-24,,,,
2022-01-25,,,,
2022-01-26,,,,
2022-01-27,,,,
2022-01-28,,,,
2022-01-31,,,,
2022-02-01,,,,
2022-02-02,,,,
2022-02-03,,,,
2022-02-04,,,,
2022-02-07,,,,
2022-02-08,,,,
2022-02-09,,,,
2022-02-10,,,,
2022-02-11,,,,
2022-02-14,,,,
2022-02-15,,,,
2022-02-16,,,,
2022-02-17,,,,
2022-02-18,,,,
2022-02-22,,,,
2022-02-23,,,,
2022-02-24,,,,
2022-02-25,,,,
2022-02-28,,,,
2022-03-01,,,,
2022-03-02,,,,
2022-03-03,,,,
2022-03-04,,,,
2022-03-07,,,,
2022-03-08,,,,
2022-03-09,,,,
2022-03-10,,,,
2022-03-11,,,,
2022-03-14,,,,
2022-03-15,164.14959838867188,152.45102966308593,289.91278564453125,24.604634361267088
2022-03-16,163.71480041503906,152.10501983642578,289.14528381347657,24.492441291809083
2022-03-17,163.34539489746095,151.89935974121093,288.5046661376953,24.402225227355956
2022-03-18,163.1353793334961,151.83722991943358,288.2087023925781,24.379340896606447
2022-03-21,163.00994415283202,151.80197998046876,287.93643676757813,24.350609130859375
2022-03-22,162.94859161376954,151.8486801147461,287.7558862304688,24.33626808166504
2022-03-23,162.91408599853514,151.88712036132813,287.48247497558594,24.301105461120606
2022-03-24,162.89866058349608,151.85287048339845,287.2845489501953,24.307847900390627
2022-03-25,162.8871649169922,151.84420043945312,287.01497436523437,24.301814193725587
2022-03-28,162.95827941894532,151.99973022460938,287.14129455566405,24.334724769592285
2022-03-29,163.07801300048828,152.14327026367187,287.2544769287109,24.369034042358397
2022-03-30,163.23842437744142,152.29094024658204,287.48344665527344,24.40479721069336
2022-03-31,163.4067803955078,152.4249102783203,287.5919079589844,24.449181785583495
2022-04-01,163.6029196166992,152.6627603149414,287.7552459716797,24.50041076660156
2022-04-04,163.92108825683593,153.17683013916016,288.1335052490234,24.580065383911133
2022-04-05,164.1884844970703,153.56704986572265,288.42607055664064,24.631231842041014
2022-04-06,164.4285968017578,153.94244995117188,288.6506042480469,24.672892112731933
2022-04-07,164.67654541015625,154.3206900024414,288.7526104736328,24.70163749694824
2022-04-08,164.89352020263672,154.6171499633789,288.709052734375,24.725169410705565
2022-04-11,164.80801818847655,154.76002990722657,288.2763659667969,24.70682071685791
2022-04-12,164.67285552978515,154.78430999755858,287.72925170898435,24.647372360229493
2022-04-13,164.59471099853516,154.8712600708008,287.3325701904297,24.598844566345214
2022-04-14,164.39236053466797,154.8931399536133,286.6944287109375,24.519395179748535
2022-04-18,164.24323852539064,155.17192993164062,286.30537963867187,24.476255226135255
2022-04-19,164.14545654296876,155.18144989013672,285.9182598876953,24.433994903564454
2022-04-20,164.05864624023437,155.1026998901367,285.6479931640625,24.369276809692384
2022-04-21,163.89384704589844,154.8403500366211,285.20064819335937,24.271041107177734
2022-04-22,163.6099060058594,154.50356018066407,284.49373107910156,24.127593269348143
2022-04-25,163.42884124755858,154.24497039794923,284.0867352294922,24.009456367492675
2022-04-26,163.19682830810547,153.9669204711914,283.6183087158203,23.906505355834963
2022-04-27,162.95560577392578,153.6269204711914,283.40217346191406,23.789760551452638
2022-04-28,162.77630584716798,153.38864044189452,283.20444152832033,23.655834732055663
2022-04-29,162.48433044433594,152.71226058959962,282.7791827392578,23.49693431854248
